ride_id,rideable_type,member_casual,started_at,ended_at,s_lat,s_lng,e_lat,e_lng,travel_dist_m,trip_duration_min,travel_speed_kmph,month,day_of_week,hour_bucket
6A9D809ABDF70617,Electric Bike,Annual Member,2024-01-01 00:00:39 UTC,2024-01-01 00:07:56 UTC,41.95,-87.65,41.9295,-87.6431,2350,7.28,19.4,January,Monday,00:00 - 01:59
0D9E85F804C85828,Electric Bike,Annual Member,2024-01-01 00:00:53 UTC,2024-01-01 00:22:30 UTC,41.8819,-87.6413,41.89,-87.62,1980,21.62,5.5,January,Monday,00:00 - 01:59
56F5C3ED5178C131,Classic Bike,Annual Member,2024-01-01 00:01:01 UTC,2024-01-01 00:24:12 UTC,41.8908,-87.6317,41.8679,-87.623,2646,23.18,6.8,January,Monday,00:00 - 01:59
A2DA242FA988F2C6,Electric Bike,Annual Member,2024-01-01 00:01:30 UTC,2024-01-01 00:25:49 UTC,41.87,-87.62,41.9,-87.64,3724,24.32,9.2,January,Monday,00:00 - 01:59
70BDF49A30C8BFFC,Classic Bike,Casual Rider,2024-01-01 00:02:15 UTC,2024-01-01 00:07:01 UTC,41.9256,-87.6537,41.9253,-87.6658,1002,4.77,12.6,January,Monday,00:00 - 01:59
BE6196C09FA4685D,Electric Bike,Casual Rider,2024-01-01 00:06:46 UTC,2024-01-01 00:12:26 UTC,41.9688,-87.6575,41.97,-87.67,1042,5.67,11,January,Monday,00:00 - 01:59
B7F1F63BD1AFF4E9,Classic Bike,Annual Member,2024-01-01 00:06:59 UTC,2024-01-01 00:17:21 UTC,42.0189,-87.69,42.009,-87.6741,1714,10.37,9.9,January,Monday,00:00 - 01:59
444DD0D82A50BA8C,Classic Bike,Casual Rider,2024-01-01 00:07:45 UTC,2024-01-01 00:15:41 UTC,41.9117,-87.6268,41.9222,-87.6389,1538,7.93,11.6,January,Monday,00:00 - 01:59
510C1C0AA564ADF0,Classic Bike,Casual Rider,2024-01-01 00:07:57 UTC,2024-01-01 00:29:42 UTC,41.8759,-87.6408,41.8908,-87.6317,1820,21.75,5,January,Monday,00:00 - 01:59
EC853871645F0763,Electric Bike,Annual Member,2024-01-01 00:08:11 UTC,2024-01-01 00:12:38 UTC,41.8901,-87.6342,41.8999,-87.6344,1090,4.45,14.7,January,Monday,00:00 - 01:59
09DF0C5B0C0059B1,Classic Bike,Annual Member,2024-01-01 00:08:33 UTC,2024-01-01 00:14:24 UTC,41.8899,-87.6343,41.8999,-87.6344,1112,5.85,11.4,January,Monday,00:00 - 01:59
4AFA64162D867835,Electric Bike,Annual Member,2024-01-01 00:09:07 UTC,2024-01-01 00:14:37 UTC,41.8899,-87.6341,41.9032,-87.6343,1479,5.5,16.1,January,Monday,00:00 - 01:59
5854ED82F4BEEEFB,Electric Bike,Annual Member,2024-01-01 00:09:07 UTC,2024-01-01 00:14:16 UTC,41.8899,-87.6342,41.8999,-87.6344,1112,5.15,13,January,Monday,00:00 - 01:59
A7CEE694CC9FEEBA,Classic Bike,Annual Member,2024-01-01 00:10:21 UTC,2024-01-01 00:22:07 UTC,41.8842,-87.6296,41.8776,-87.6496,1811,11.77,9.2,January,Monday,00:00 - 01:59
B630AC7A05A70037,Classic Bike,Annual Member,2024-01-01 00:11:28 UTC,2024-01-01 00:26:22 UTC,41.903,-87.6313,41.8781,-87.6439,2959,14.9,11.9,January,Monday,00:00 - 01:59
5BAAFDE84176D405,Electric Bike,Casual Rider,2024-01-01 00:11:59 UTC,2024-01-01 00:17:27 UTC,41.9187,-87.6973,41.9126,-87.6814,1480,5.47,16.2,January,Monday,00:00 - 01:59
25D4266142A8EF57,Electric Bike,Casual Rider,2024-01-01 00:12:17 UTC,2024-01-01 00:22:13 UTC,41.9942,-87.6894,42.01,-87.67,2378,9.93,14.4,January,Monday,00:00 - 01:59
A56F29C2DEF734DC,Classic Bike,Annual Member,2024-01-01 00:12:24 UTC,2024-01-01 00:30:15 UTC,41.9733,-87.6679,41.9992,-87.6712,2893,17.85,9.7,January,Monday,00:00 - 01:59
B60706A97A1BDDD7,Electric Bike,Casual Rider,2024-01-01 00:12:42 UTC,2024-01-01 00:18:29 UTC,41.88,-87.65,41.869,-87.6591,1437,5.78,14.9,January,Monday,00:00 - 01:59
290C5199E316C31A,Electric Bike,Casual Rider,2024-01-01 00:13:29 UTC,2024-01-01 00:34:37 UTC,41.9216,-87.7073,41.9402,-87.6529,4953,21.13,14.1,January,Monday,00:00 - 01:59
