ID,Station Name,Short Name,Total Docks,Docks in Service,Status,Latitude,Longitude,Location
2111730464161852178,Elston Ave & George St,CHI02084,11,11,In Service,41.934003,-87.690823,POINT (-87.690823 41.934003)
1594046452527747848,Elston Ave & George St,,12,12,In Service,41.934003,-87.690823,POINT (-87.690823 41.934003)
1978857650118994914,Indiana Ave & 133rd St,CHI01933,16,16,In Service,41.6538,-87.61719,POINT (-87.61719 41.6538)
1448642188027369086,Indiana Ave & 133rd St,,8,8,In Service,41.653564,-87.617054,POINT (-87.617054 41.653564)
2111748084869249170,Kedzie Ave & George St,CHI02085,11,11,In Service,41.933886,-87.707262,POINT (-87.707262 41.933886)
1594046422462976738,Kedzie Ave & George St,,12,12,In Service,41.933886,-87.707262,POINT (-87.707262 41.933886)
2108374001471259348,Rockwell St & Fletcher St,CHI02082,11,11,In Service,41.93885,-87.69299,POINT (-87.69299 41.93885)
1594046422462976736,Rockwell St & Fletcher St,,12,12,In Service,41.938689,-87.692972,POINT (-87.692972 41.938689)
2108441700539699862,Western Ave & Grace St,CHI02083,11,11,In Service,41.95035,-87.68808,POINT (-87.68808 41.95035)
1594046413873042132,Western Ave & Grace St,,12,12,In Service,41.95039,-87.688234,POINT (-87.688234 41.95039)
1967727360320698512,Western Ave & Lake St,CHI01848,15,15,In Service,41.88481,-87.68668,POINT (-87.68668 41.88481)
1594046379513303720,Western Ave & Lake St,,8,8,In Service,41.884606,-87.685853,POINT (-87.685853 41.884606)
